FIPS ,State,County,2010 Census Population,PCT_LACCESS_POP10,PCT_LACCESS_HHNV10,GROCPTH09,SUPERCPTH09,CONVSPTH09,SNAPSPTH12,FFRPTH09,PC_FFRSALES12,PCT_SNAP12,FOODINSEC_10_12,SODATAX_STORES14,SODATAX_VENDM14,CHIPSTAX_STORES14,CHIPSTAX_VENDM14,FOOD_TAX14,FMRKTPTH09,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS13,RECFACPTH09,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13,POPLOSS10
1001, Alabama,Autauga ,"54,571.0",33.8,3.3,0.1,0.0,0.5,0.7,0.6,674.8,18.8,17.9,4.0,4.0,4.0,4.0,4.0,0.0,13.0,34.1,0.1,77.2,17.6,2.4,0.9,0.4,0.0,12.0,26.8,"56,580.0",12.7,0.0,18.8,0.0,1.0,0.0
1003, Alabama,Baldwin ,"182,265.0",19.3,2.1,0.1,0.0,0.7,0.7,0.6,674.8,18.8,17.9,4.0,4.0,4.0,4.0,4.0,0.0,10.4,27.4,0.1,83.5,9.3,4.4,0.7,0.6,0.0,16.8,23.0,"52,387.0",12.9,0.0,19.6,0.0,1.0,0.0
1005, Alabama,Barbour ,"27,457.0",20.8,4.1,0.2,0.0,0.5,1.3,0.8,674.8,18.8,17.9,4.0,4.0,4.0,4.0,4.0,0.1,18.4,44.4,0.0,46.8,46.7,5.1,0.4,0.2,0.1,14.2,21.9,"31,433.0",32.0,1.0,45.2,1.0,0.0,0.0
1007, Alabama,Bibb ,"22,915.0",4.6,3.5,0.3,0.0,0.8,0.7,0.3,674.8,18.8,17.9,4.0,4.0,4.0,4.0,4.0,0.0,14.8,40.3,0.0,75.0,21.9,1.8,0.1,0.3,0.0,12.7,22.7,"40,767.0",22.2,0.0,29.3,1.0,1.0,0.0
1009, Alabama,Blount ,"57,322.0",2.7,3.3,0.1,0.0,0.5,0.7,0.4,674.8,18.8,17.9,4.0,4.0,4.0,4.0,4.0,0.0,14.1,34.6,0.1,88.9,1.3,8.1,0.2,0.5,0.0,14.7,24.6,"50,487.0",14.7,0.0,22.2,0.0,1.0,0.0
1011, Alabama,Bullock ,"10,914.0",37.5,7.3,0.2,0.0,0.2,1.4,0.4,674.8,18.8,17.9,4.0,4.0,4.0,4.0,4.0,0.1,19.6,43.0,0.0,21.9,70.0,7.1,0.2,0.2,0.0,13.5,22.3,"28,251.0",39.6,1.0,51.2,1.0,0.0,0.0
1013, Alabama,Butler ,"20,947.0",6.2,4.7,0.1,0.0,1.2,1.3,0.8,674.8,18.8,17.9,4.0,4.0,4.0,4.0,4.0,0.1,17.7,36.3,0.0,54.1,43.2,0.9,0.8,0.3,0.0,16.7,24.1,"33,868.0",25.8,1.0,36.0,1.0,0.0,1.0
1015, Alabama,Calhoun ,"118,572.0",26.1,2.6,0.2,0.0,0.7,1.2,0.8,674.8,18.8,17.9,4.0,4.0,4.0,4.0,4.0,0.0,14.9,32.2,0.1,73.6,20.4,3.3,0.7,0.4,0.1,14.3,22.9,"42,091.0",20.0,0.0,30.7,0.0,1.0,0.0
1017, Alabama,Chambers ,"34,215.0",19.7,4.4,0.2,0.0,0.6,1.0,0.6,674.8,18.8,17.9,4.0,4.0,4.0,4.0,4.0,0.0,16.4,39.7,0.1,58.1,38.6,1.6,0.5,0.2,0.0,16.7,22.5,"35,560.0",22.4,0.0,34.4,1.0,0.0,1.0
1019, Alabama,Cherokee ,"25,989.0",0.3,3.6,0.2,0.0,0.5,1.2,0.6,674.8,18.8,17.9,4.0,4.0,4.0,4.0,4.0,0.0,13.3,33.6,0.0,92.1,4.6,1.2,0.2,0.5,0.0,17.9,21.4,"39,144.0",19.4,0.0,30.2,0.0,0.0,0.0
